appid,"""name"" ",release_date,developer,platforms,required_age,categories,genres,steamspy_tags,positive_ratings,negative_ratings,average_playtime,median_playtime,header_image
10,"""Counter-Strike"" ",11/1/2000,Valve,windows;mac;linux,0,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,124534,3339,17612,317,https://steamcdn-a.akamaihd.net/steam/apps/10/header.jpg?t=1528733245
20,"""Team Fortress Classic"" ",4/1/1999,Valve,windows;mac;linux,0,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,3318,633,277,62,https://steamcdn-a.akamaihd.net/steam/apps/20/header.jpg?t=1528732825
30,"""Day of Defeat"" ",5/1/2003,Valve,windows;mac;linux,0,Multi-player;Valve Anti-Cheat enabled,Action,FPS;World War II;Multiplayer,3416,398,187,34,https://steamcdn-a.akamaihd.net/steam/apps/30/header.jpg?t=1512413490
40,"""Deathmatch Classic"" ",6/1/2001,Valve,windows;mac;linux,0,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,1273,267,258,184,https://steamcdn-a.akamaihd.net/steam/apps/40/header.jpg?t=1528733362
50,"""Half-Life: Opposing Force"" ",11/1/1999,Gearbox Software,windows;mac;linux,0,Single-player;Multi-player;Valve Anti-Cheat enabled,Action,FPS;Action;Sci-fi,5250,288,624,415,https://steamcdn-a.akamaihd.net/steam/apps/50/header.jpg?t=1542245736
60,"""Ricochet"" ",11/1/2000,Valve,windows;mac;linux,0,Multi-player;Online Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,2758,684,175,10,https://steamcdn-a.akamaihd.net/steam/apps/60/header.jpg?t=1528733092
70,"""Half-Life"" ",11/8/1998,Valve,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Steam Cloud;Valve Anti-Cheat enabled,Action,FPS;Classic;Action,27755,1100,1300,83,https://steamcdn-a.akamaihd.net/steam/apps/70/header.jpg?t=1530045175
80,"""Counter-Strike: Condition Zero"" ",3/1/2004,Valve,windows;mac;linux,0,Single-player;Multi-player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,12120,1439,427,43,https://steamcdn-a.akamaihd.net/steam/apps/80/header.jpg?t=1512411962
130,"""Half-Life: Blue Shift"" ",6/1/2001,Gearbox Software,windows;mac;linux,0,Single-player,Action,FPS;Action;Sci-fi,3822,420,361,205,https://steamcdn-a.akamaihd.net/steam/apps/130/header.jpg?t=1542159361
220,"""Half-Life 2"" ",11/16/2004,Valve,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Includes Source SDK,Action,FPS;Action;Sci-fi,67902,2419,691,402,https://steamcdn-a.akamaihd.net/steam/apps/220/header.jpg?t=1541802014
240,"""Counter-Strike: Source"" ",11/1/2004,Valve,windows;mac;linux,0,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK,Action,Action;FPS;Multiplayer,76640,3497,6842,400,https://steamcdn-a.akamaihd.net/steam/apps/240/header.jpg?t=1515613564
280,"""Half-Life: Source"" ",6/1/2004,Valve,windows;mac;linux,0,Single-player,Action,FPS;Action;Sci-fi,3767,1053,190,214,https://steamcdn-a.akamaihd.net/steam/apps/280/header.jpg?t=1530046549
300,"""Day of Defeat: Source"" ",7/12/2010,Valve,windows;mac;linux,0,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Valve Anti-Cheat enabled;Stats;Includes Source SDK,Action,FPS;World War II;Multiplayer,10489,1210,1356,134,https://steamcdn-a.akamaihd.net/steam/apps/300/header.jpg?t=1512413758
320,"""Half-Life 2: Deathmatch"" ",11/1/2004,Valve,windows;mac;linux,0,Multi-player;Valve Anti-Cheat enabled;Includes Source SDK,Action,Action;FPS;Multiplayer,6020,787,311,32,https://steamcdn-a.akamaihd.net/steam/apps/320/header.jpg?t=1512752170
340,"""Half-Life 2: Lost Coast"" ",10/27/2005,Valve,windows;mac;linux,0,Single-player;Commentary available,Action,FPS;Action;Singleplayer,5783,1020,46,29,https://steamcdn-a.akamaihd.net/steam/apps/340/header.jpg?t=1530046348
