appid,"""name"" ",release_date,developer,platforms,required_age,categories,genres,steamspy_tags,positive_ratings,negative_ratings,average_playtime,median_playtime,header_image,short_description
10,"""Counter-Strike"" ",11/1/2000,Valve,windows;mac;linux,0,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,124534,3339,17612,317,https://steamcdn-a.akamaihd.net/steam/apps/10/header.jpg?t=1528733245,Play the world's number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your team's success. Your team's success affects your role.
20,"""Team Fortress Classic"" ",4/1/1999,Valve,windows;mac;linux,0,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,3318,633,277,62,https://steamcdn-a.akamaihd.net/steam/apps/20/header.jpg?t=1528732825,"One of the most popular online action games of all time, Team Fortress Classic features over nine character classes -- from Medic to Spy to Demolition Man -- enlisted in a unique style of online team warfare. Each character class possesses unique weapons, items, and abilities, as teams compete online in a variety of game play modes."
30,"""Day of Defeat"" ",5/1/2003,Valve,windows;mac;linux,0,Multi-player;Valve Anti-Cheat enabled,Action,FPS;World War II;Multiplayer,3416,398,187,34,https://steamcdn-a.akamaihd.net/steam/apps/30/header.jpg?t=1512413490,"Enlist in an intense brand of Axis vs. Allied teamplay set in the WWII European Theatre of Operations. Players assume the role of light/assault/heavy infantry, sniper or machine-gunner class, each with a unique arsenal of historical weaponry at their disposal. Missions are based on key historical operations."
40,"""Deathmatch Classic"" ",6/1/2001,Valve,windows;mac;linux,0,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,1273,267,258,184,https://steamcdn-a.akamaihd.net/steam/apps/40/header.jpg?t=1528733362,"Enjoy fast-paced multiplayer gaming with Deathmatch Classic (a.k.a. DMC). Valve's tribute to the work of id software, DMC invites players to grab their rocket launchers and put their reflexes to the test in a collection of futuristic settings."
50,"""Half-Life: Opposing Force"" ",11/1/1999,Gearbox Software,windows;mac;linux,0,Single-player;Multi-player;Valve Anti-Cheat enabled,Action,FPS;Action;Sci-fi,5250,288,624,415,https://steamcdn-a.akamaihd.net/steam/apps/50/header.jpg?t=1542245736,"Return to the Black Mesa Research Facility as one of the military specialists assigned to eliminate Gordon Freeman. Experience an entirely new episode of single player action. Meet fierce alien opponents, and experiment with new weaponry. Named 'Game of the Year' by the Academy of Interactive Arts and Sciences."
60,"""Ricochet"" ",11/1/2000,Valve,windows;mac;linux,0,Multi-player;Online Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,2758,684,175,10,https://steamcdn-a.akamaihd.net/steam/apps/60/header.jpg?t=1528733092,"A futuristic action game that challenges your agility as well as your aim, Ricochet features one-on-one and team matches played in a variety of futuristic battle arenas."
70,"""Half-Life"" ",11/8/1998,Valve,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Steam Cloud;Valve Anti-Cheat enabled,Action,FPS;Classic;Action,27755,1100,1300,83,https://steamcdn-a.akamaihd.net/steam/apps/70/header.jpg?t=1530045175,"Named Game of the Year by over 50 publications, Valve's debut title blends action and adventure with award-winning technology to create a frighteningly realistic world where players must think to survive. Also includes an exciting multiplayer mode that allows you to play against friends and enemies around the world."
80,"""Counter-Strike: Condition Zero"" ",3/1/2004,Valve,windows;mac;linux,0,Single-player;Multi-player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,12120,1439,427,43,https://steamcdn-a.akamaihd.net/steam/apps/80/header.jpg?t=1512411962,"With its extensive Tour of Duty campaign, a near-limitless number of skirmish modes, updates and new content for Counter-Strike's award-winning multiplayer game play, plus over 12 bonus single player missions, Counter-Strike: Condition Zero is a tremendous offering of single and multiplayer content."
130,"""Half-Life: Blue Shift"" ",6/1/2001,Gearbox Software,windows;mac;linux,0,Single-player,Action,FPS;Action;Sci-fi,3822,420,361,205,https://steamcdn-a.akamaihd.net/steam/apps/130/header.jpg?t=1542159361,"Made by Gearbox Software and originally released in 2001 as an add-on to Half-Life, Blue Shift is a return to the Black Mesa Research Facility in which you play as Barney Calhoun, the security guard sidekick who helped Gordon out of so many sticky situations."
220,"""Half-Life 2"" ",11/16/2004,Valve,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Includes Source SDK,Action,FPS;Action;Sci-fi,67902,2419,691,402,https://steamcdn-a.akamaihd.net/steam/apps/220/header.jpg?t=1541802014,"1998. HALF-LIFE sends a shock through the game industry with its combination of pounding action and continuous, immersive storytelling. Valve's debut title wins more than 50 game-of-the-year awards on its way to being named ""Best PC Game Ever"" by PC Gamer, and launches a franchise with more than eight million retail units sold worldwide."
